total_events,total_sessions,active_days,core_events,payment_status,cluster,gender,is_push_on,ban_status,report_count,alarm_count,pending_chat,pending_votes,friend_id_count,block_user_id_count,hide_user_id_count,class,id,osname,school_grade,province
1077,83,21,254.0,False,2,F,1,N,1,0,0,4,48,2,0,2.0,216718,iOS,M2.0,Gyeonggi
1075,79,24,201.0,False,2,M,0,N,1,0,0,0,64,0,0,2.0,7054,Android,M2.0,Gangwon
1066,104,23,87.0,False,2,F,1,N,0,0,0,0,96,0,0,2.0,75464,iOS,M2.0,Daegu
1059,76,23,185.0,False,2,M,1,N,0,0,0,194,70,0,0,1.0,178994,Android,M2.0,Gyeonggi
1046,75,22,159.0,False,2,M,1,N,0,0,0,7,35,0,1,4.0,10574,Android,M2.0,Gyeongbuk
1045,98,21,269.0,False,2,F,1,N,0,1,0,0,59,0,0,1.0,29984,Android,M3.0,Gyeonggi
1043,95,22,446.0,False,2,F,1,N,0,0,0,5,38,0,0,1.0,18417,Android,M3.0,Chungbuk
1032,101,24,163.0,True,2,F,1,N,0,0,0,0,20,0,0,6.0,119309,iOS,M3.0,Gyeonggi
1030,103,24,358.0,False,2,M,0,N,1,1,0,0,18,0,32,1.0,70038,Android,M2.0,Gyeongbuk
1028,117,24,119.0,False,2,F,0,N,2,0,0,8,64,0,8,4.0,223707,iOS,M2.0,Chungbuk
1028,83,21,154.0,False,2,F,1,N,0,0,0,0,34,0,0,1.0,82320,iOS,M3.0,Gyeonggi
1027,69,24,197.0,False,2,F,1,N,0,0,0,0,94,0,0,3.0,247730,iOS,M3.0,Busan
1023,139,23,129.0,False,2,M,1,N,0,2,0,9,43,0,0,1.0,82367,Android,M3.0,Gyeongbuk
1021,109,24,230.0,False,2,M,1,N,0,0,0,2,30,0,0,1.0,46263,Android,M3.0,Gyeongbuk
1018,104,24,211.0,False,2,F,1,N,0,0,0,2,84,0,0,5.0,109751,iOS,M3.0,Incheon
1011,47,11,149.0,False,1,F,0,N,0,0,1,0,74,1,27,6.0,38776,Android,M2.0,Gyeonggi
1010,85,23,236.0,False,2,F,1,N,0,0,2,0,46,0,0,1.0,75811,iOS,M3.0,Gyeongbuk
1005,105,21,229.0,False,2,M,1,N,0,1,4,499,90,0,0,2.0,147458,iOS,M3.0,Gyeonggi
1001,77,23,51.0,False,1,M,1,N,0,0,0,0,31,0,0,4.0,494743,iOS,M2.0,Gyeonggi
1001,144,24,47.0,False,2,F,1,N,0,0,1,0,33,0,1,6.0,16807,iOS,H1.0,Busan
999,69,22,84.0,False,1,F,1,N,0,0,0,1,89,0,0,3.0,204921,iOS,M2.0,Chungnam
989,64,12,78.0,False,1,M,1,W,0,1,0,0,33,0,0,2.0,9400,iOS,H2.0,Daegu
988,95,21,287.0,False,2,F,1,N,0,0,0,309,61,0,0,1.0,142027,iOS,M3.0,Chungbuk
985,168,21,286.0,False,2,M,1,N,0,0,0,0,44,0,0,1.0,64505,iOS,H3.0,Jeonbuk
978,81,21,148.0,False,2,F,1,N,0,0,0,0,29,1,0,1.0,147527,iOS,M2.0,Jeonbuk
978,104,23,336.0,False,2,M,1,N,0,0,0,139,41,0,0,5.0,46256,iOS,H1.0,Daejeon
970,82,15,35.0,False,1,F,1,N,0,1,0,182,74,0,4,7.0,10672,iOS,H1.0,Gyeonggi
966,81,24,87.0,False,1,F,1,N,0,0,0,22,67,0,0,1.0,332149,iOS,M2.0,Jeonbuk
963,46,11,227.0,False,2,F,0,N,0,0,0,21,50,0,0,1.0,332037,Android,M2.0,Gyeongbuk
958,89,23,147.0,False,2,F,1,N,0,0,0,0,72,0,0,1.0,48691,iOS,M3.0,Gyeonggi
